Image_Name,Loc_Error(m),Ori_Error(deg),ESA_Score,GT_Distance(Z),Ori_Encoded_Error
img004657.jpg,0.136526883,5.22973156,0.11176163,6.656291008,1.672529553
img001637.jpg,0.166383594,8.059365381,0.14794617,22.8368969,2.320568083
img006282.jpg,0.141657144,9.748307238,0.177361296,19.6071701,7.868453056
img014238.jpg,0.806322753,5.634611513,0.151869521,15.0476017,3.657695647
img012015.jpg,0.211191535,6.481626687,0.125526142,17.02290726,1.982211397
img011742.jpg,0.081207693,4.484380336,0.087055959,9.239779472,3.457685937
img007730.jpg,0.26569593,3.733109047,0.134404704,3.835681915,0.610374893
img009991.jpg,0.110335715,4.901446201,0.104837168,5.718874931,0.418713461
img014289.jpg,0.241643965,5.364824591,0.122444429,8.385018349,0.511288805
img004460.jpg,0.11387448,5.585342798,0.126648521,3.903330088,7.683408717
img014076.jpg,0.126407579,6.230414891,0.122872815,8.9424963,7.868651985
img005970.jpg,3.210130453,16.63501964,0.411097385,26.54273033,1.392662872
img009897.jpg,0.119488128,5.309371139,0.111097839,6.476808071,0.947079046
img014682.jpg,0.15974772,6.425688292,0.141712425,5.399541855,6.45244385
img006127.jpg,0.08988712,2.719686132,0.056373601,10.08298683,3.872675424
img008407.jpg,0.109218337,10.98738125,0.215577384,4.582980156,1.489871618
img002956.jpg,0.467132151,4.256713056,0.11804216,10.67677116,1.182982574
img014216.jpg,0.266689092,11.6769008,0.239755359,7.416178226,5.510543262
img005073.jpg,1.764081359,11.02264039,0.468537971,6.361178875,7.784383673
img014971.jpg,0.13562794,9.337752251,0.178342721,8.823944092,6.468443995
img007907.jpg,1.015799761,18.50179401,0.385314282,16.27799988,3.759229824
img005829.jpg,0.29871735,5.1272228,0.169096403,3.7492311,1.653704484
img002527.jpg,0.162795037,10.46945312,0.206339059,6.873809814,3.465826669
img005202.jpg,0.898048401,6.484646485,0.170459174,15.67495823,5.466032199
img009034.jpg,1.64404583,5.765658938,0.228623942,12.83358383,1.023345259
img012517.jpg,0.385380924,12.01871676,0.252456702,9.025213242,6.952750938
img005539.jpg,1.138378859,11.49357254,0.260996092,18.81665802,6.407870463
img002552.jpg,0.460555702,8.923103419,0.175329285,23.50519371,6.966142378
img010836.jpg,0.762868226,16.90318482,0.361229829,11.49370193,7.611714783
img002547.jpg,0.017199906,10.37258226,0.183766986,6.296340942,7.828832836
img006055.jpg,0.475445151,6.412268678,0.143784825,14.91161919,7.470040438
img013059.jpg,0.690568447,10.92162019,0.25921113,10.06191254,5.355329774
img006969.jpg,0.218899414,12.72071336,0.267584562,4.788400173,1.222035782
img009590.jpg,0.28752318,17.00821264,0.331891552,8.189596176,0.42612491
img001345.jpg,0.25556764,4.433816446,0.100752363,10.91118145,1.977862915
img009503.jpg,0.654907227,5.941563203,0.189395167,7.635028839,3.516501336
img004127.jpg,1.689159751,8.521976655,0.214543201,25.61272621,0.698852683
img004862.jpg,0.574772298,11.16572517,0.251970619,10.05208778,0.549650669
img000738.jpg,0.26150468,6.065342879,0.137589213,8.237360954,5.623483855
img007237.jpg,0.104831442,2.457838877,0.058017042,6.925882816,2.745181734
img014000.jpg,0.807739615,13.82455987,0.297901925,14.25047207,4.406363354
img011420.jpg,0.44570905,7.845623149,0.159781633,19.49085808,6.565297359
img008919.jpg,0.246661484,7.738971452,0.177904423,5.757723808,7.167073737
img014258.jpg,0.659796,5.235716513,0.122123811,21.46141624,2.439618707
img009123.jpg,0.265145808,17.04821022,0.330927331,7.92689085,7.865964306
img005783.jpg,1.066141963,11.68508934,0.266601145,16.99893379,7.565992643
