step,value,wall_time,file
68,9.435461044311523,1775135717.1133504,events.out.tfevents.1775105998.LAPTOP-GRIC803N
69,9.42397689819336,1775136146.0370371,events.out.tfevents.1775105998.LAPTOP-GRIC803N
70,9.413991928100586,1775136577.6169436,events.out.tfevents.1775105998.LAPTOP-GRIC803N
71,9.411578178405762,1775137008.592001,events.out.tfevents.1775105998.LAPTOP-GRIC803N
72,9.401765823364258,1775137439.5961227,events.out.tfevents.1775105998.LAPTOP-GRIC803N
73,9.402867317199707,1775137868.999979,events.out.tfevents.1775105998.LAPTOP-GRIC803N
74,9.408374786376953,1775138301.0497386,events.out.tfevents.1775105998.LAPTOP-GRIC803N
75,9.415460586547852,1775138733.522149,events.out.tfevents.1775105998.LAPTOP-GRIC803N
76,9.396374702453613,1775139165.951755,events.out.tfevents.1775105998.LAPTOP-GRIC803N
77,9.395608901977539,1775139598.0396128,events.out.tfevents.1775105998.LAPTOP-GRIC803N
78,9.399242401123047,1775140032.1822553,events.out.tfevents.1775105998.LAPTOP-GRIC803N
79,9.397828102111816,1775140463.8743894,events.out.tfevents.1775105998.LAPTOP-GRIC803N
80,9.403305053710938,1775140896.2379944,events.out.tfevents.1775105998.LAPTOP-GRIC803N
81,9.387429237365723,1775141326.2649815,events.out.tfevents.1775105998.LAPTOP-GRIC803N
82,9.398046493530273,1775141757.9999044,events.out.tfevents.1775105998.LAPTOP-GRIC803N
