Image_Name,Loc_Epistemic_Std,Loc_Error(m),GT_Z
img010158.jpg,2.0487825082228714,0.99676609,34.73534393
img006286.jpg,1.7204625700665503,0.644763172,29.1475544
img003487.jpg,1.62428620138201,0.48971346,31.81913567
img010432.jpg,1.6038284275445425,0.267663211,30.24875069
img009857.jpg,1.5783183668069,3.024821043,34.07597351
img008745.jpg,1.559176152011055,2.895865202,26.22682762
img011468.jpg,1.5452465389056853,2.634329081,30.95845985
img013472.jpg,1.5120013465602469,0.685780048,31.52539063
img013833.jpg,1.4491503100092826,1.610388994,22.89874649
img006868.jpg,1.4120323827731431,1.512034655,26.17490768
img002379.jpg,1.397105685694536,0.575753331,28.19776154
img007637.jpg,1.387037815634455,0.092580289,22.04489517
img004719.jpg,1.291557717641763,1.954114914,27.37743378
img004533.jpg,1.2899440639035478,1.401319265,33.38749695
img000079.jpg,1.248338739685667,0.986325443,33.48426056
